ID (Unique record ID),"Species (Dominant tree species, Latin ...)","Spec code (Tree species code, see ""Speci...)","Trees comp (Tree species composition, e.g...)",Comm (Structure of age),Origin,Site ind (Site index code (from 0 to 12...),Standage,Trees canopy h [m] (Average height of the stand -...),DBH [cm] (Average),Trees [#/ha],Stocking rel (Ratio of basal area of a plot...),Tree BA [m**2/ha] (total cross-sectional area of...),Trees grow stock vol [m**3/ha] (Volume of stems of all living...),Stemoverbark,Biom live dm [t/ha] (Bark of stem),Biom live dm [t/ha] (Branches over bark),Foliage,Stumproots,Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Total live biomass of understory),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Total live biomass of green f...),Biom dm [t/ha] (Snags),Biom dm [t/ha] (Logs),Biom dm [t/ha] (Coarse woody debris),Biom dm [t/ha] (Dead branches of living trees),Biom dm [t/ha] (Dead roots),Biom dm [t/ha] (Litter),Country (Country code (ISO ALPHA-3)),Latitude,Longitude,Altitude [m],Date (Year of measurements),Trees (Number of trees selected for ...),LAI,"Ecoregion (Code of ecoregion (Olson, 200...)",Reference
8310,Pinus sylvestris,101,100-Pi,,Natural,8,21,6.1,4.9,11892,1.6,,100,40.1,6.15,5.18,6.77,10.4,,,,,,,,,,,,,,,,,RUS,54.33,82.5,,1966,,,80809,"Gabeyev, 1968, 1969, 1976, 1990"
8185,Pinus sylvestris,101,100-Pi,,Natural,8,21,4.5,3.5,14129,1.47,,58,32.3,,4.97,4.2,16.5,,,,,,,,,,,,,,,,,RUS,57.5,60.33,,1968,,,80611,"Luganskaya, 1970; Luganskaya, Luganski, 1970"
8183,Pinus sylvestris,101,100-Pi,,Natural,8,21,5.1,2.7,36150,1.09,,52,20.6,,2.11,2.8,13.4,,,,,,,,,,,,,,,,,RUS,57.5,60.33,,1968,,,80611,"Luganskaya, 1970; Luganskaya, Luganski, 1970"
8196,Pinus sylvestris,101,100-Pi,,Natural,9,21,3.9,2.7,37256,2,,85,34,,4.36,4.16,5.23,,,,,,,,,,,,,,,,,RUS,56.42,60.17,,1968,,,80610,"Luganskaya, 1970; Luganskaya, Luganski, 1970"
8193,Pinus sylvestris,101,100-Pi,,Natural,9,21,3.6,2.4,46826,2,,61,24.2,,2.24,3.37,4.24,,,,,,,,,,,,,,,,,RUS,56.42,60.17,,1968,,,80610,"Luganskaya, 1970; Luganskaya, Luganski, 1970"
2027,Pinus sylvestris,101,100-Pi,,Natural,5,22,13,10.2,2940,1.63,,330,127.2,,17.49,22.11,19.8,,,,,,,,,,,,,,,,,UKR,50,27,,1971,,,80412,"Myakushko, 1972, 1978"
9987,Pinus densiflora,101,100-Pi,,Natural,5,22,10.7,7.6,7380,1.44,,214,86.1,,12.3,7.2,28,,,,,,,,,,,,,,,,,JPN,41.5,140,,1963,,,80428,"Hatiya et al., 1965, 1968"
192,Pinus sylvestris,101,100-Pi,even-aged,Natural,7,22,7.9,6.1,10500,1.64,30,149,57.3,4.6,6.1,6.2,14.2,,,,,,,,5.1,,,,,,2.5,,8.3,RUS,56,94,,1972,18,,80817,"Semechkina, 1978; Pozdnyakov., 1975a"
7759,Pinus sylvestris,101,100-Pi,,Natural,9,22,4,3.7,10698,0.99,,35,15.3,2.84,2.75,2.72,5.57,,,,,,,,,,,,,,,,,RUS,62.33,33.97,,1975,,,80608,"Kazimirov et al., 1977"
8179,Pinus sylvestris,101,100-Pi,,Natural,8,23,2.2,2.2,22011,1.85,,24.1,9.5,,2.91,2.91,8.95,,,,,,,,,,,,,,,,,RUS,59,60.83,,1968,,,80611,"Luganskaya, Luganski, 1970"
1967,Pinus sylvestris,101,100-Pi,,Natural,7,25,13.3,7.6,3085,0.63,,125,49,,10,3.75,10,,,,,,,,,,,,,,,,,UKR,50,27,,1970,,,80412,"Myakushko, 1972, 1978"
9988,Pinus densiflora,101,100-Pi,,Natural,5,25,11.2,9.3,4270,1.31,,209,83.8,,13.7,6.9,27.8,,,,,,,,,,,,,,,,,JPN,41.5,140,,1963,,,80428,"Hatiya et al., 1965, 1968"
4735,Pinus sylvestris,101,100-Pi,,Natural,8,25,6,7.2,6350,0.95,,58,26.3,,8.8,5.16,3.6,,,,,,,,,,,,,,,,,BLR,53.83,27,,1964,,,80436,"Zhilkin, 1966"
4736,Pinus sylvestris,101,100-Pi,,Natural,8,25,7.2,8.2,7613,1.3,,104,54.5,,15.7,7.31,12.6,,,,,,,,,,,,,,,,,BLR,53.83,27,,1964,,,80436,"Zhilkin, 1966"
8396,Pinus sylvestris,101,100-Pi,,Natural,6,25,9.8,7,10300,1.76,,222,78.3,9.9,12.6,7.3,16.2,,,,,,,,,,,,,,,,,RUS,56.22,92.32,,1998,,,80817,"Vedrova et al., 2000"
8298,Pinus sylvestris,101,100-Pi,even-aged,Natural,8,25,6.4,4.1,18653,1.49,24.62,100,41.78,5.81,4.26,3.71,9.736,,,,,0.012,0.005,0.017,,1.474,,,,,0.81,0.074,15.144,RUS,56.72,85.67,,1966,,,80444,"Gabeyev, 1968, 1976, 1990"
318,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,25,4.4,2.7,24500,1.06,13.8,43,17.3,4.3,2,4.8,5.7,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
9812,Pinus sylvestris,101,100-Pi,,Natural,5,26,13.7,10.4,3459,0.81,,177,84.3,7.8,10.7,10.3,10.9,,,,,,,,,,,,,,,,,SWE,60.83,16.47,187.5,1978,,,80608,"Albrektson, 1980a, b"
9575,Pinus sylvestris,101,100-Pi,,Natural,6,26,11.8,10.4,3552,1.06,,178,71,9.34,5.86,4.4,15.8,,,,,,,,,,,,,,,,,UKR,49.33,36.67,,1974,,,80814,"Andrushenko, 1976, 1977"
8385,Pinus sylvestris,101,100-Pi,,Natural,7,26,8.7,7.5,5875,1.28,,134,50.9,7.6,14.7,6.9,10.8,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
8384,Pinus sylvestris,101,100-Pi,,Natural,7,26,7.9,6.1,10500,1.64,,149,56.6,8.5,16.4,7.7,12,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
7944,Pinus sylvestris,101,100-Pi,,Natural,10,27,5.2,5,3129,0.4,,21.3,9.5,,2.1,3.5,3.4,,,,,,,,,,,,,,,,,RUS,68,33,,1988,,,80608,"Alexeyev , Yarmishko, 1990"
9813,Pinus sylvestris,101,100-Pi,,Natural,5,27,13.3,10.5,3164,0.75,,156,74.1,7.2,9.1,4.9,10.1,,,,,,,,,,,,,,,,,SWE,60.83,16.47,187.5,1978,,,80608,"Albrektson, 1980a, b"
7206,Pinus sylvestris,101,100-Pi,,Natural,10,28,3.2,4.5,2900,0.29,,8.1,5.8,,2,1.1,1.9,,,,,,,,,,,,,,,,,LTU,55,24,,1974,,,80412,"Kapustinskaite, 1976"
9692,Pinus sylvestris,101,100-Pi,,Natural,9,28,6.4,5.8,2911,0.43,,30.2,11.5,1.9,3.3,2.3,7,,,,,,,,,,,,,,,,,FIN,61.1,24.08,132.5,1972,,,80608,"M盲lk枚nen, 1974"
9814,Pinus sylvestris,101,100-Pi,,Natural,5,28,13.4,11.1,3102,0.75,,159,75.9,7.2,10.6,6.6,12.2,,,,,,,,,,,,,,,,,SWE,60.83,16.47,187.5,1978,,,80608,"Albrektson, 1980a, b"
1876,Pinus sylvestris,101,100-Pi,,Natural,8,28,7.3,5.9,7388,1.04,,85.1,48.6,,7.3186,2.0424,11.914,,,,,,,,,,,,,,,,,BLR,53.25,28.83,,1968,,,80412,"Yurkevich, Yaroshevich, 1974"
12136,Pinus sylvestris,101,100-Pi,,Natural,11,28,2.3,,33600,2,,41.6,12.4,,2.44,2.59,7.97,,,,,,,,,,,,,,,,,RUS,64.5,55.5,,1985,,,80608,"Bobkova, 1987, 2005"
9815,Pinus sylvestris,101,100-Pi,,Natural,5,29,14.8,14.6,1337,0.54,,133,63.2,5.7,12.4,5.7,9.1,,,,,,,,,,,,,,,,,SWE,60.83,16.47,187.5,1978,,,80608,"Albrektson, 1980a, b"
7859,Pinus sylvestris,101,100-Pi,,Natural,6,29,11.1,9.7,3030,0.78,,120,69.5,5,18.9,8,24.5,,,,,,,,,,,,,,,,,RUS,58,33,,1973,,,80436,"Vatkovski, 1976; Vatkovski et al., 1975"
8304,Pinus sylvestris,101,100-Pi,,Natural,7,29,10.4,7.6,7551,1.3,,179,124.8,10.1,17.9,8.43,30.7,,,,,,,,,,,,,,,,,RUS,56.72,85.67,,1966,,,80444,"Gabeyev, 1968, 1976, 1990"
983,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,30,8.5,9.2,894,0.26,5.9,27,11.6,,2.2,3.6,3,,,,,,,,,,0.1,,,,,,2.4,RUS,61,87,,1978,,,80611,"Gordina, 1979"
5128,Pinus nigra,1012,100-Pi,,Natural,6,30,11.2,14.3,1678,1.38,,215,82.2,12.2,12.2,9.8,29.7,,,,,,,,,,,,,,,,,GBR,56,-4,,1978,,,80409,"Miller et al., 1980"
8061,Pinus sylvestris,101,100-Pi,,Natural,6,30,13,13,1925,0.91,,178,65.8,,8.2,5.11,18.8,,,,,,,,,,,,,,,,,RUS,59.5,44,,1995,,,80608,"Utkin et al., 1997"
7211,Pinus sylvestris,101,100-Pi,,Natural,8,30,8.3,10.2,3420,1.06,,105,57.4,,7.6,4,14.5,,,,,,,,,,,,,,,,,LTU,55,24,,1974,,,80412,"Kapustinskaite, 1976"
7947,Pinus sylvestris,101,100-Pi,,Natural,10,30,2.7,3.1,4600,0.43,,9.4,4.8,,1.6,2.3,2.2,,,,,,,,,,,,,,,,,RUS,68,33,,1988,,,80608,"Alexeyev , Yarmishko, 1990"
2202,Pinus sylvestris,101,100-Pi,,Natural,7,30,10.3,10,4930,0.85,,115,40.9,,7.705,4.715,12.65,,,,,,,,,,,,,,,,,RUS,53,42,,1989,,,80419,"Uspenski, 1987"
286,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,30,5.9,6.5,6118,1.16,,72,27.4,5.6,5.7,4.7,8.1,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
258,Pinus sylvestris,101,100-Pi,even-aged,Natural,7,30,11.2,6.3,9753,1.2,,184,70.5,8.6,4.9,5.9,30.7,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1986,10,,80810,"Usoltsev, 1988"
301,Pinus sylvestris,101,100-Pi,even-aged,Natural,10,30,4.6,4.8,9834,1.16,,53,21,5.1,4.2,4.1,7.2,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
272,Pinus sylvestris,101,100-Pi,even-aged,Natural,7,30,9.5,4.9,15270,1.28,28.8,154,60.9,8.3,3.9,5.5,26.3,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1986,10,,80810,"Usoltsev, 1988"
319,Pinus sylvestris,101,100-Pi,even-aged,Natural,10,30,4.9,3.1,22700,1.15,17.3,57,23.9,5.4,2.4,4.5,7.1,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
410,Pinus sylvestris,101,100-Pi,even-aged,Natural,7,31,10.4,7.6,7551,1.3,27.12,179.3,124.795,10.1,17.86,8.43,30.67,,,,,,0.14,0.14,,0.04,,,,,9.18,0.01,14.85,RUS,56,84,,1990,9月12日,,80444,"Gabeyev, 1968, 1976, 1990"
7937,Pinus sylvestris,101,100-Pi,,Natural,3,32,18.8,17,1740,0.85,,316,117.2,,9.7,5.4,40.4,,,,,,,,,,,,,,,,,RUS,54.5,44,,1957,,,80419,"Remezov et al., 1959; Rodin, Bazilevich, 1967."
8311,Pinus sylvestris,101,100-Pi,,Natural,8,32,8.1,6.7,7756,1.3,,124,49.7,6.38,8.83,6.93,14.2,,,,,,,,,,,,,,,,,RUS,54.33,82.5,,1966,,,80809,"Gabeyev, 1968, 1969, 1976, 1990"
7760,Pinus sylvestris,101,100-Pi,,Natural,9,32,5.8,4.3,11708,1.29,,78,34.6,5.36,4.65,4.5,8.51,,,,,,,,,,,,,,,,,RUS,62.33,33.97,,1975,,,80608,"Kazimirov et al., 1977"
8002,Pinus sylvestris,101,100-Pi,,Natural,,33,,,740,,,89,29.4,2.94,11.05,6.61,6.6,,,,,,,,,,,,,,,,,RUS,61.5,41,,1976,,,80608,"Chibisov et al., 1978, 1980"
8000,Pinus sylvestris,101,100-Pi,,Natural,,33,,,1400,,,108,41.1,4.22,8.89,6.27,12.1,,,,,,,,,,,,,,,,,RUS,61.5,41,,1976,,,80608,"Chibisov et al., 1978, 1980"
9981,Pinus densiflora,101,100-Pi,,Natural,5,33,15.7,15.7,2340,1.52,,409,163.4,,14.6,6.9,52.8,,,,,,,,,,,,,,,,,JPN,41.5,140,,1963,,,80428,"Hatiya et al., 1965, 1968"
2038,Pinus sylvestris,101,100-Pi,,Natural,4,33,17.6,19.5,2620,0.81,,275,112,,13.475,5.775,13.75,,,,,,,,,,,,,,,,,UKR,50,27,,1971,,,80412,"Myakushko, 1972, 1978"
7999,Pinus sylvestris,101,100-Pi,,Natural,,33,,,5600,,,143,43.9,4.76,4.06,4.21,7.67,,,,,,,,,,,,,,,,,RUS,61.5,41,,1976,,,80608,"Chibisov et al., 1978, 1980"
9816,Pinus sylvestris,101,100-Pi,,Natural,5,34,15.1,15.7,1116,0.55,,140,66.7,5.3,8.9,5.4,13.7,,,,,,,,,,,,,,,,,SWE,60.83,16.47,187.5,1978,,,80608,"Albrektson, 1980a, b"
2606,Pinus sylvestris,101,100-Pi,even-aged,Natural,8,34,9,6,6401,0.86,,96,43.7,4.3,12.5,4.5,10.5,,,,,0.7,0.1,0.8,,,,,,,,,10.3,RUS,51.45,94.3,,1968,10月15日,,80519,"Gorbatenko, 1970"
8307,Pinus sylvestris,101,100-Pi,,Natural,8,34,8.4,5.5,9518,1.8,,181,68.9,7.1,4.69,4.5,18.9,,,,,,,,,,,,,,,,,RUS,54.33,82.5,,1966,,,80809,"Gabeyev, 1968, 1969, 1976, 1990"
8312,Pinus sylvestris,101,100-Pi,,Natural,7,35,11.7,7.4,832,0.85,,140,56.2,7.31,8.85,7.25,15,,,,,,,,,,,,,,,,,RUS,54.33,82.5,,1966,,,80809,"Gabeyev, 1968, 1969, 1976, 1990"
7946,Pinus sylvestris,101,100-Pi,,Natural,10,35,1.6,3.2,1077,0.19,,2,0.9,,0.8,0.3,2.1,,,,,,,,,,,,,,,,,RUS,68,33,,1988,,,80608,"Alexeyev , Yarmishko, 1990"
9678,Pinus sylvestris,101,100-Pi,,Natural,8,35,10,11.7,1465,0.39,,50,24.8,3.48,4.48,3.36,6.21,,,,,,,,,,,,,,,,,FIN,61.13,24,95,1994,,,80608,"Vanninen et al., 1996"
7945,Pinus sylvestris,101,100-Pi,,Natural,9,35,6,7,1886,0.47,,29.6,13.3,,3.4,2.7,3.8,,,,,,,,,,,,,,,,,RUS,68,33,,1988,,,80608,"Alexeyev , Yarmishko, 1990"
6,Pinus sylvestris,101,100-Pi,even-aged,Natural,6,35,14.3,12.8,2250,0.93,28.8,211,77.6,5.1,13.2,7.6,17.8,,,,,,,,,,,,,,,,,RUS,56,92,,1988,,,80444,"Stakanov, 1990"
8389,Pinus sylvestris,101,100-Pi,,Natural,6,35,14.3,12.8,2250,0.94,,211,82.3,12.3,14.7,6.3,34.9,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
9686,Pinus sylvestris,101,100-Pi,,Natural,6,35,6.8,7.7,2660,0.82,,57.7,28.73,3.41,7.44,4.62,11.24,,,,,,,,,,,,,,,,,FIN,62.78,30.97,145,2000,,,80608,"Helmisaari et al., 2002"
8387,Pinus sylvestris,101,100-Pi,,Natural,7,35,13.1,9,5875,1.45,,280,109.2,16.4,19.5,8.4,25.9,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
1874,Pinus sylvestris,101,100-Pi,,Natural,9,35,7.2,6.3,5967,1.07,,87.9,50.5,,8.4384,1.4943,12.306,,,,,,,,,,,,,,,,,BLR,53.25,28.83,,1970,,,80412,"Yurkevich, Yaroshevich, 1974"
8388,Pinus sylvestris,101,100-Pi,,Natural,7,35,12.7,8.7,7775,1.69,,312,121.7,18.3,21.7,9.3,17.5,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
8386,Pinus sylvestris,101,100-Pi,,Natural,7,35,12.9,8.4,7900,1.46,,276,107.6,16.2,19.2,8.2,23.2,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
320,Pinus sylvestris,101,100-Pi,even-aged,Natural,10,35,5.4,3.5,20700,1.25,20.1,71,30.6,6.1,2.8,4.2,8.4,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
1875,Pinus sylvestris,101,100-Pi,,Natural,8,36,9.4,7.7,5798,1.2,,141.9,80.9,,12.2034,3.4056,19.866,,,,,,,,,,,,,,,,,BLR,53.25,28.83,,1968,,,80412,"Yurkevich, Yaroshevich, 1974"
16,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,37,7.6,7.9,4900,0.85,22.4,75,47.39,9.53,8.09,6.1,10,,,,,,,,,0.15,,,,,1.52,,23.8,KAZ,53,70.2,,1973,5月15日,,80811,"Atkin, 1978"
15,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,37,6.5,6.3,7800,1.2,24.2,85,50.01,10.05,10.13,7.08,11,,,,,,,,,0.39,,,,,0.89,,21.1,KAZ,53,70.2,,1973,5月15日,,80811,"Atkin, 1978"
14,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,37,6.5,5.9,8700,1.13,23.9,80,47.89,9.63,7.25,6.44,10,,,,,,,,,0.16,,0.32,,,1.29,,20.8,KAZ,53,70.1,,1973,5月15日,,80811,"Atkin, 1978"
4738,Pinus sylvestris,101,100-Pi,,Natural,5,39,17.2,15,1757,0.95,,291,119.8,10.8,10,6.01,26.4,,,,,,,,,,,,,,,,,BLR,53.67,27,,1984,,,80412,"Tsykunov, 1972a,b; Tsykunov et al., 1984, 1986"
5122,Pinus nigra,1012,100-Pi,,Natural,7,39,12.9,15.4,2110,0.85,,161,91.7,13.3,14.8,7.4,28.1,,,,,,,,,,,,,,,,,GBR,57.65,-3.67,50,1974,,,80409,"Miller et al., 1976; Miller, Miller, 1976"
5123,Pinus nigra,1012,100-Pi,,Natural,7,39,13.3,15.7,2110,0.85,,167,95.2,14.8,18,9.8,36.1,,,,,,,,,,,,,,,,,GBR,57.65,-3.67,50,1974,,,80409,"Miller et al., 1976; Miller, Miller, 1976"
5124,Pinus nigra,1012,100-Pi,,Natural,7,39,13.3,15.9,2110,0.9,,178,101.4,15.2,16.9,11.8,33.8,,,,,,,,,,,,,,,,,GBR,57.65,-3.67,50,1974,,,80409,"Miller et al., 1976; Miller, Miller, 1976"
5125,Pinus nigra,1012,100-Pi,,Natural,7,39,13.2,15.9,2110,0.92,,179,101.8,15,16.7,13.4,31.7,,,,,,,,,,,,,,,,,GBR,57.65,-3.67,50,1974,,,80409,"Miller et al., 1976; Miller, Miller, 1976"
5126,Pinus nigra,1012,100-Pi,,Natural,7,39,13.1,16,2110,0.99,,192,109.2,16.7,16.7,14.8,37,,,,,,,,,,,,,,,,,GBR,57.65,-3.67,50,1974,,,80409,"Miller et al., 1976; Miller, Miller, 1976"
8391,Pinus sylvestris,101,100-Pi,,Natural,7,39,13.8,10.6,4320,1.31,,272,108.8,16.3,22.2,5.6,23.1,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
4739,Pinus sylvestris,101,100-Pi,,Natural,7,39,12.4,9.2,4413,1.23,,220,93.3,9.4,10.9,4.69,25.1,,,,,,,,,,,,,,,,,BLR,53.67,27,,1984,,,80412,"Tsykunov, 1972a,b; Tsykunov et al., 1984, 1986"
8390,Pinus sylvestris,101,100-Pi,,Natural,8,39,11.2,7.7,7712,1.64,,250,100,15,20.4,5.1,21.3,,,,,,,,,,,,,,,,,RUS,56.17,92.5,,2000,,,80817,"Greshilova, 2004; Stakanov, 1990; Stakanov et al., 2002"
9679,Pinus sylvestris,101,100-Pi,,Natural,6,40,17,20.6,830,0.6,,173,86.5,11.6,21.9,6.71,20.6,,,,,,,,,,,,,,,,,FIN,61.13,24,95,1994,,,80608,"Vanninen et al., 1996"
5129,Pinus nigra,1012,100-Pi,,Natural,6,40,15.4,19.9,908,1.17,,294,111.6,16,17.8,9.6,34.5,,,,,,,,,,,,,,,,,GBR,56,-4,,1978,,,80409,"Miller et al., 1980"
2015,Pinus sylvestris,101,100-Pi,,Natural,6,40,16,15.6,1060,0.64,,169,71,,9.633,3.887,11.83,,,,,,,,,,,,,,,,,UKR,50,27,,1971,,,80412,"Myakushko, 1972, 1978"
1968,Pinus sylvestris,101,100-Pi,,Natural,7,40,13.5,18,1340,0.91,,183,77,,11.163,3.477,18.3,,,,,,,,,,,,,,,,,UKR,50,27,,1970,,,80412,"Myakushko, 1972, 1978"
2020,Pinus sylvestris,101,100-Pi,,Natural,5,40,17.5,13.6,1800,0.75,,236,99,,8.26,5.9,14.16,,,,,,,,,,,,,,,,,UKR,50,27,,1971,,,80412,"Myakushko, 1972, 1978"
2025,Pinus sylvestris,101,100-Pi,,Natural,5,40,19.2,16,2118,1.06,,381,160.1,,36.576,9.144,30.48,,,,,,,,,,,,,,,,,UKR,50,27,,1971,,,80412,"Myakushko, 1972, 1978"
8313,Pinus sylvestris,101,100-Pi,,Natural,6,40,16.7,15.2,2137,1.06,,298,89.8,10.3,8.99,7.64,24.3,,,,,,,,,,,,,,,,,RUS,54.33,82.5,,1966,,,80809,"Gabeyev, 1968, 1969, 1976, 1990"
9690,Pinus sylvestris,101,100-Pi,,Natural,8,40,12.2,12.3,2300,1.05,,180,89.8,,8.8,4.6,14.8,,,,,,,,,,,,,,,,,FIN,61.85,24.28,170,2002,,,80608,"Kolari et al., 2004"
7212,Pinus sylvestris,101,100-Pi,,Natural,8,40,10.3,9.7,2382,0.69,,92.6,53.1,,5.5,5.1,18.2,,,,,,,,,,,,,,,,,LTU,55,24,,1974,,,80412,"Kapustinskaite, 1976"
7207,Pinus sylvestris,101,100-Pi,,Natural,10,40,5.1,5.2,2470,0.32,,16.6,9.3,,3.2,1.7,3.8,,,,,,,,,,,,,,,,,LTU,55,24,,1974,,,80412,"Kapustinskaite, 1976"
8275,Pinus sylvestris,101,100-Pi,,Natural,8,40,9.8,9.6,2514,0.73,,92,36.3,5.5,4.1,4.1,7.7,,,,,,,,,,,,,,,,,RUS,59.67,90,,1996,,,80611,"Vedrova, 1998, 2002"
4719,Pinus sylvestris,101,100-Pi,,Natural,5,40,17,24,2886,0.09,,27.2,11.6,,3.14,2.66,3.41,,,,,,,,,,,,,,,,,BLR,54.83,28,,1968,,,80436,"Boyko et al., 1970, 1975b"
127,Pinus sylvestris,101,100-Pi,even-aged,Natural,8,40,11,10.2,2940,0.94,23.8,139.4,83.122,7.074,12.921,14.133,24.154,,,,,,,,,1.06,2.13,,,,1.18,2.41,29.575,KAZ,55,69,,1972,,,80809,"Zhuravleva, 1974"
4720,Pinus sylvestris,101,100-Pi,,Natural,11,40,2.1,4.5,3320,0.1,,2.04,0.76,,0.91,0.78,2.25,,,,,,,,,,,,,,,,,BLR,54.83,28,,1968,,,80436,"Boyko et al., 1970, 1975b"
259,Pinus sylvestris,101,100-Pi,even-aged,Natural,7,40,15.4,10.4,4002,1.07,,259,98.4,9.4,7.8,5.8,38.2,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1986,10,,80810,"Usoltsev, 1988"
287,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,40,8.4,8.8,4127,1.12,,114,44.3,6.5,7.2,4.5,10.4,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
302,Pinus sylvestris,101,100-Pi,even-aged,Natural,10,40,6.6,6.6,6431,1.13,,84,34,5.9,5.3,3.9,9.4,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
273,Pinus sylvestris,101,100-Pi,even-aged,Natural,7,40,13,7.4,7463,1.12,32.1,214,85.5,8.8,5.2,4.9,30.6,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1986,10,,80810,"Usoltsev, 1988"
136,Pinus sylvestris,101,100-Pi,even-aged,Natural,9,40,9,7,7925,1.29,,144,64,6.2,6.9,2.6,16,,,,,,,,,1.52,,,,,,,15.8,RUS,62,90,,1967,10月15日,2.49,80601,"Pozdnyakov et al., 1969; Pozdnyakov., 1975a"
321,Pinus sylvestris,101,100-Pi,even-aged,Natural,10,40,5.9,3.9,18800,1.33,22.6,85,37.3,6.5,3.1,4,9.8,,,,,,,,,,,,,,,,,KAZ,52.2,64,,1985,10,,80810,"Usoltsev, 1987"
1884,Pinus sylvestris,101,100-Pi,,Natural,7,41,12.8,9.9,3845,1.04,,195,115.1,,18.525,4.875,27.3,,,,,,,,,,,,,,,,,BLR,53.25,28.83,,1968,,,80412,"Yurkevich, Yaroshevich, 1974"
2039,Pinus sylvestris,101,100-Pi,,Natural,4,42,22.6,18,1019,0.94,,454,192,,15.89,6.81,22.7,,,,,,,,,,,,,,,,,UKR,50,27,,1971,,,80412,"Myakushko, 1972, 1978"
7761,Pinus sylvestris,101,100-Pi,,Natural,9,42,7.8,4.9,15266,1.74,,160,72.6,8.82,5.67,3.53,14.7,,,,,,,,,,,,,,,,,RUS,62.33,33.97,,1975,,,80608,"Kazimirov et al., 1977"
9979,Pinus densiflora,101,100-Pi,,Natural,5,43,18.2,22,1009,1.12,,375,153.6,,15.6,6.4,50.2,,,,,,,,,,,,,,,,,JPN,41.5,140,,1963,,,80428,"Hatiya et al., 1965, 1968"
7208,Pinus sylvestris,101,100-Pi,,Natural,11,43,4.3,5.9,3007,0.46,,20.4,9.5,,3.1,2.3,3.5,,,,,,,,,,,,,,,,,LTU,55,24,,1974,,,80412,"Kapustinskaite, 1976"
9978,Pinus densiflora,101,100-Pi,,Natural,5,44,18.5,23.4,750,0.95,,325,126,,13.4,5.1,41.3,,,,,,,,,,,,,,,,,JPN,41.5,140,,1963,,,80428,"Hatiya et al., 1965, 1968"
7762,Pinus sylvestris,101,100-Pi,,Natural,9,44,8.2,5.5,10672,1.3,,128,56.9,9.41,6.35,5.85,13.3,,,,,,,,,,,,,,,,,RUS,62.33,33.97,,1975,,,80608,"Kazimirov et al., 1977"
1974,Pinus sylvestris,101,100-Pi,,Natural,5,45,19,18.8,1170,0.81,,287,122.8,,12.054,5.166,17.22,,,,,,,,,,,,,,,,,UKR,50,27,,1970,,,80412,"Myakushko, 1972, 1978"
9680,Pinus sylvestris,101,100-Pi,,Natural,8,45,13,14.6,1309,0.53,,99,49.5,9.5,11.1,5.79,11.1,,,,,,,,,,,,,,,,,FIN,61.13,24,95,1994,,,80608,"Vanninen et al., 1996"
